Numero de puntos; Tiempo en ms del algoritmo sencillo:; Tiempo en ms del algiritmo DyV:;
1000;19686;no provado;
2000;79247;no provado;
3000;182190;no provado;
4000;293782;no provado;
5000;433159;no provado;
6000;622376;no provado;
7000;823685;no provado;
8000;1.14702e+06;no provado;
9000;1.26884e+06;no provado;
10000;1.73355e+06;no provado;
11000;1.96345e+06;no provado;
12000;2.39416e+06;no provado;
13000;2.72346e+06;no provado;
14000;3.33643e+06;no provado;
15000;3.59729e+06;no provado;
16000;4.15458e+06;no provado;
17000;4.92778e+06;no provado;
18000;4.98678e+06;no provado;
19000;5.54224e+06;no provado;
20000;6.2714e+06;no provado;
21000;7.05567e+06;no provado;
22000;6.64932e+06;no provado;
23000;7.89513e+06;no provado;
24000;8.4285e+06;no provado;
25000;9.07921e+06;no provado;
26000;9.91056e+06;no provado;
27000;1.07836e+07;no provado;
28000;1.12635e+07;no provado;
29000;1.18885e+07;no provado;
30000;1.27287e+07;no provado;
31000;1.31625e+07;no provado;
32000;1.3868e+07;no provado;
33000;1.48156e+07;no provado;
34000;1.53633e+07;no provado;
35000;1.70362e+07;no provado;
36000;1.74247e+07;no provado;
37000;1.7103e+07;no provado;
38000;1.87833e+07;no provado;
39000;2.0185e+07;no provado;
40000;1.96442e+07;no provado;
41000;2.11333e+07;no provado;
42000;2.2241e+07;no provado;
43000;2.29122e+07;no provado;
44000;2.37447e+07;no provado;
45000;2.60428e+07;no provado;
46000;2.70162e+07;no provado;
47000;2.75509e+07;no provado;
48000;2.92492e+07;no provado;
49000;2.94166e+07;no provado;
50000;3.06751e+07;no provado;
51000;3.07508e+07;no provado;
52000;3.26361e+07;no provado;
53000;3.33993e+07;no provado;
